Year,SERIES,UNIT_MEASURE,Type of product,Value
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,0.43436
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,0.4953
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,0.46572
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,0.45083
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,0.44286
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Biomass,0.43543
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.6121
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.60552
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.59792
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.62397
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.59436
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.60173
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.6241
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.57697
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.63089
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.68873
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.66184
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.7573
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.73041
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.69965
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.69103
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.74676
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.74675
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Coal,0.74686
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.10577
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.13179
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.14381
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.0852
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.14313
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.13185
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.12377
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.08656
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.11291
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.11648
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.09415
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.09306
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.07421
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.09852
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.08755
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.08499
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.08244
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crop residues,0.08006
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.24453
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.2926
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.26429
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.1969
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.30693
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.2882
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.26408
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.22665
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.24105
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.24252
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.22227
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.21978
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.19512
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.22769
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.21617
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.21256
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.20889
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Crops,0.20546
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.03012
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.02133
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.01631
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.02012
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.02561
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.12936
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.13142
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.1202
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.13732
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.13702
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.04898
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.06148
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.05558
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.0744
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.07805
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.08118
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.084
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Ferrous ores,0.08666
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.72149
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.70527
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.68965
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.70903
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.69216
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.69411
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.71773
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.67098
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.73092
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.79441
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.769
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.86734
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.82995
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.79216
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.77609
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.83334
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.83285
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Fossil fuels,0.83253
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.01415
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.00902
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.00812
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.01022
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.01515
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.01732
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.01728
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.01726
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.01624
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.00955
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.00993
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.0112
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.0104
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.00791
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.00727
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.00884
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.00854
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Natural gas,0.00825
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.01792
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.00525
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.0008
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.00088
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.00108
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.00812
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.02367
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.04579
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.03642
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.03826
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.05391
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.04979
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.04309
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.04239
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.04169
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.04412
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.04635
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Grazed biomass and fodder crops,0.04844
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.05125
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.0286
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.02179
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.0671
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.0726
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.19352
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.17653
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.15846
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.18824
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.16468
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.10023
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.11178
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.10819
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.1248
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.12141
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.12544
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.12903
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Metal ores,0.13244
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.02113
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.00727
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.00548
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.04699
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.04699
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.06416
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.04511
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.03826
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.05092
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.02766
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.05125
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.0503
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.0526
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.0504
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.04335
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.04425
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.04503
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-ferrous ores,0.04578
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.0591
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.07705
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.06679
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.03509
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.04688
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.06634
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.10729
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.13823
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.13384
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.11479
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.08803
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.10815
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.1082
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.09168
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.10124
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.10345
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.10536
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - industrial or agricultural dominant,0.10718
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.53208
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.57069
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.653
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,1.06731
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.86938
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.64496
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.75758
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.79266
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.80594
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.79693
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.82002
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.76307
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.81051
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.88088
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.93902
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.9671
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,0.99199
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals - construction dominant,1.01558
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.59118
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.64774
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.71979
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,1.1024
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.91626
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.71131
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.86487
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.9309
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.93978
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.91173
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.90804
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.87122
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.91871
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,0.97256
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,1.04026
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,1.07055
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,1.09735
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Non-metallic minerals,1.12276
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.09524
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.09073
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.0836
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.07484
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.08265
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.07506
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.07635
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.07675
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.0838
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.09613
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.09723
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.09884
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.08914
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.08459
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.07779
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.07774
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.07757
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Petroleum,0.07742
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.0007
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.0007
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00086
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00087
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00095
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00103
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00071
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00066
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00062
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.0006
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00053
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00048
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00049
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.0005
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.0005
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00047
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00045
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wild catch and harvest,0.00043
2000,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.20564
2001,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.17656
2002,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.1888
2003,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.17693
2004,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.12747
2005,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.12901
2006,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.1348
2007,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.1113
2008,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.11595
2009,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.10079
2010,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.11215
2011,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.11612
2012,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.12145
2013,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.1262
2014,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.1198
2015,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.10868
2016,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.10473
2017,Domestic material consumption per unit of GDP,Kilograms per constant USD,Wood,0.10104
2000,Domestic material consumption,TONNES,No breakdown,23365825.75365
2001,Domestic material consumption,TONNES,No breakdown,24613314.28434
2002,Domestic material consumption,TONNES,No breakdown,26390478.3
2003,Domestic material consumption,TONNES,No breakdown,31600971.235
2004,Domestic material consumption,TONNES,No breakdown,32465536.662
2005,Domestic material consumption,TONNES,No breakdown,32188746.13883
2006,Domestic material consumption,TONNES,No breakdown,36275747.38391
2007,Domestic material consumption,TONNES,No breakdown,37152644.0546
2008,Domestic material consumption,TONNES,No breakdown,41532236.07692
2009,Domestic material consumption,TONNES,No breakdown,40348689.97848
2010,Domestic material consumption,TONNES,No breakdown,38823258.16083
2011,Domestic material consumption,TONNES,No breakdown,40395999.20143
2012,Domestic material consumption,TONNES,No breakdown,39402478.74455
2013,Domestic material consumption,TONNES,No breakdown,41976401.6291
2014,Domestic material consumption,TONNES,No breakdown,42791244.54296
2015,Domestic material consumption,TONNES,No breakdown,45513731.42272
2016,Domestic material consumption,TONNES,No breakdown,47360105.11949
2017,Domestic material consumption,TONNES,No breakdown,49206478.81624
2000,Domestic material consumption,TONNES,Biomass,6925657.0
2001,Domestic material consumption,TONNES,Biomass,7512072.0
2002,Domestic material consumption,TONNES,Biomass,7782116.0
2003,Domestic material consumption,TONNES,Biomass,6224523.0
2004,Domestic material consumption,TONNES,Biomass,8323459.0
2005,Domestic material consumption,TONNES,Biomass,8329607.0
2006,Domestic material consumption,TONNES,Biomass,8604851.0
2007,Domestic material consumption,TONNES,Biomass,7841856.0
2008,Domestic material consumption,TONNES,Biomass,8899146.0
2009,Domestic material consumption,TONNES,Biomass,8491325.0
2010,Domestic material consumption,TONNES,Biomass,8296309.0
2011,Domestic material consumption,TONNES,Biomass,8310136.0
2012,Domestic material consumption,TONNES,Biomass,7469798.0
2013,Domestic material consumption,TONNES,Biomass,8718073.0
2014,Domestic material consumption,TONNES,Biomass,8291559.0
2015,Domestic material consumption,TONNES,Biomass,8273228.0
2016,Domestic material consumption,TONNES,Biomass,8382525.0
2017,Domestic material consumption,TONNES,Biomass,8491821.0
2000,Domestic material consumption,TONNES,Coal,7378000.0
2001,Domestic material consumption,TONNES,Coal,7495000.0
2002,Domestic material consumption,TONNES,Coal,7774000.0
2003,Domestic material consumption,TONNES,Coal,8429000.0
2004,Domestic material consumption,TONNES,Coal,8536000.0
2005,Domestic material consumption,TONNES,Coal,8979000.0
2006,Domestic material consumption,TONNES,Coal,9817000.0
2007,Domestic material consumption,TONNES,Coal,9607000.0
2008,Domestic material consumption,TONNES,Coal,11075000.0
2009,Domestic material consumption,TONNES,Coal,11728000.0
2010,Domestic material consumption,TONNES,Coal,11368000.0
2011,Domestic material consumption,TONNES,Coal,13132000.0
2012,Domestic material consumption,TONNES,Coal,12561000.0
2013,Domestic material consumption,TONNES,Coal,12315000.0
2014,Domestic material consumption,TONNES,Coal,12303000.0
2015,Domestic material consumption,TONNES,Coal,13704000.0
2016,Domestic material consumption,TONNES,Coal,14134591.0
2017,Domestic material consumption,TONNES,Coal,14565182.0
2000,Domestic material consumption,TONNES,Crop residues,1274913.0
2001,Domestic material consumption,TONNES,Crop residues,1631232.0
2002,Domestic material consumption,TONNES,Crop residues,1869727.0
2003,Domestic material consumption,TONNES,Crop residues,1150939.0
2004,Domestic material consumption,TONNES,Crop residues,2055582.0
2005,Domestic material consumption,TONNES,Crop residues,1967457.0
2006,Domestic material consumption,TONNES,Crop residues,1946952.0
2007,Domestic material consumption,TONNES,Crop residues,1441252.0
2008,Domestic material consumption,TONNES,Crop residues,1982034.0
2009,Domestic material consumption,TONNES,Crop residues,1983541.0
2010,Domestic material consumption,TONNES,Crop residues,1617069.0
